man	men
life	lives
company	companies
party	parties
family	families
country	countries
policy	policies
information information
money money
research research
body	bodies
person	persons
health	healths
child	children
control	control
society	societies
community	communities
city	cities
woman	women
process	processes
church	churches
industry	industries
century	centuries
history	histories
study	studies
authority	authorities
class	classes
wife	wives
university	universities
quality	qualities
tax	taxes
march	marches
secretary	secretaries
basis	bases
approach	approaches
series	series
knowledge knowledge
security	securities
success	successes
analysis	analyses
theory	theories
property	properties
energy	energies
technology	technologies
chairman	chairmen
loss	losses
activity	activities
county	counties
army	armies
economy	economies
help help
news news
advice advice	
fish	fish
opportunity	opportunities
press	presses
access	access
majority	majorities
species	species
software software	
glass	glasses
lady	ladies
responsibility	responsibilities
ability	abilities
respect respect
status	statuses
peace	peace
variety	varieties
baby	babies
miss	misses
safety	safeties
box	boxes
cash	cash
library	libraries
duty	duties
speech	speeches
progress	progresses
memory	memories
gas	gases
foot	feet
half	halves
possibility	possibilities
supply	supplies
match	matches
stuff stuff
traffic traffic
reality	realities
difficulty	difficulties
strategy	strategies
search	searches
agency	agencies
crisis	crises
capacity	capacities
weather weather
victory	victories
violence violence
congress	congresses
emphasis emphasis
touch	touches
assembly	assemblies
curriculum	curricula
branch	branches
bus	buses
entry	entries
gentleman	gentlemen
treaty	treaties
copy	copies
ministry	ministries
lunch	lunches
cross	crosses
sky	skies
milk milk	
silver silver
journey	journies
injury	injuries
inflation	inflation	
factory	factories
independence independence
content content
pay pay
gallery	galleries
democracy	democracies
pollution pollution	
beauty	beauties
behalf	behalves
deputy	deputies
grass	grasses
spokesman	spokesmen
parish	parishes
emergency	emergencies
liability	liabilities
identity	identities
autumn autumn
dress	dresses
stress	stresses
recovery	recoveries
electricity	electricities
focus	focuses
mass	masses
sleep	sleep
bush	bushes
beach	beaches
charity	charities
efficiency	efficiencies
offence	offences
cooperation cooperation
delivery	deliveries
licence	licences
awareness	awarenesses
self	selves
currency	currencies
inquiry	inquiries
rugby	rugbies
philosophy	philosophies
minority	minorities
priority	priorities
fun fun
